ticket_id,customer_id,order_id,timestamp,support_channel,customer_region,customer_age_band,preferred_language,customer_tenure_months,product_category,order_value,delivery_delay_days,previous_ticket_count,issue_title,issue_description,issue_category,priority,customer_sentiment,attachment_available,image_id,escalated,resolution_time_hours,refund_requested,refund_amount,csat_score,accessibility_support_flag,resolution_status_after_7d,final_agent_disposition
TKT000000001,CUST0040150,ORD00001001,2025-12-07T09:15,email,Scotland,55-64,English,43,electronics,192.4,0,1,Product is broken,Can someone check this? the product is damaged. The order value is about GBP 192.40. Can you confirm the next step? ASAP,damaged_item,medium,negative,1,IMG_DAMAGED_0001,0,9.3,0,0.0,3.5,0,resolved_within_7d,resolved_standard
TKT000000002,CUST0031580,ORD00001002,2025-08-22T21:20,mobile_app,West Midlands,65+,English,31,toys,128.41,1,2,Item arrived damaged,"Hi, the box was crushed and the item is broken. The order value is about GBP 128.41. Thank you. #help",damaged_item,low,neutral,1,IMG_DAMAGED_0002,0,24.72,0,0.0,3.8,0,resolved_within_7d,resolved_standard
TKT000000003,CUST0114820,ORD00001003,2025-01-01T07:23,email,Yorkshire,55-64,Punjabi,53,toys,100.69,2,2,Damage on arrival,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 100.69. Thanks. thx,damaged_item,medium,neutral,1,IMG_DAMAGED_0003,0,17.83,0,0.0,3.8,0,resolved_within_7d,resolved_standard
TKT000000004,CUST0096847,ORD00001004,2025-10-02T14:24,mobile_app,Yorkshire,35-44,English,39,beauty,187.32,1,2,Damage on arrival,"Hello, the box was crushed and the item is broken. The order value is about GBP 187.32. Please advise. pls",damaged_item,medium,neutral,1,IMG_DAMAGED_0004,0,15.88,1,138.73,3.7,0,resolved_within_7d,refund_or_return_completed
TKT000000005,CUST0170029,ORD00001005,2025-08-04T23:34,Web Chat,Yorkshire,45-54,English,21,home,126.81,1,2,Damage on arrival,I need assistance because there is visible damage. The order value is about GBP 126.81. Please advise. #help,damaged_item,high,negative,1,IMG_DAMAGED_0005,1,28.87,0,0.0,3.1,0,resolved_within_7d,specialist_escalation
TKT000000006,CUST0110776,ORD00001006,2025-12-19T16:14,web_chat,Yorkshire,25-34,English,33,toys,95.75,0,3,Product is broken,"Hello, the product is damaged. The order value is about GBP 95.75. I need this resolved soon.",damaged_item,medium,neutral,1,IMG_DAMAGED_0006,0,17.52,0,0.0,3.3,0,resolved_within_7d,resolved_standard
TKT000000007,CUST0111155,ORD00001007,2025-05-03T23:41,mobile_app,London,35-44,English,41,grocery,37.58,1,2,Product is broken,Please help - the box was crushed and the item is broken. The order value is about GBP 37.58. I need this resolved soon. pls,damaged_item,high,positive,1,IMG_DAMAGED_0007,1,30.81,0,0.0,2.5,0,resolved_within_7d,specialist_escalation
TKT000000008,CUST0040602,ORD00001008,2025-11-13T03:30,web_chat,London,45-54,English,26,appliances,184.04,17,3,Item arrived damaged,Can someone check this? the item arrived cracked. The order value is about GBP 184.04. Please get back to me. ...,damaged_item,medium,negative,1,IMG_DAMAGED_0008,1,56.33,0,0.0,1.6,0,resolved_within_7d,specialist_escalation
TKT000000009,CUST0015023,ORD00001009,2025-06-30T07:18,email,South West,25-34,English,110,home,175.33,2,1,Item arrived damaged,"Support team, the box was crushed and the item is broken. The order value is about GBP 175.33. Thanks. pls",damaged_item,medium,positive,1,IMG_DAMAGED_0009,0,24.36,1,140.8,3.1,0,resolved_within_7d,refund_or_return_completed
TKT000000010,CUST0132441,ORD00001010,2025-09-02T05:47,web_chat,Northern Ireland,25-34,English,9,grocery,66.59,1,1,Product is broken,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 66.59. Thanks. ASAP,damaged_item,low,negative,1,IMG_DAMAGED_0010,0,22.45,1,41.18,3.7,0,resolved_within_7d,refund_or_return_completed
TKT000000011,CUST0090287,ORD00001011,2025-11-02T03:27,web_chat,South West,25-34,English,41,fashion,25.04,1,0,Product is broken,Please help - the product is damaged. The order value is about GBP 25.04. I need this resolved soon. #help,damaged_item,medium,neutral,1,IMG_DAMAGED_0011,0,17.39,0,0.0,3.9,0,resolved_within_7d,resolved_standard
TKT000000012,CUST0032496,ORD00001012,2025-06-18T18:50,web_chat,Yorkshire,55-64,English,29,appliances,99.17,3,0,Item arrived damaged,Can someone check this? the product is damaged. The order value is about GBP 99.17. Please advise. thx,damaged_item,medium,neutral,1,IMG_DAMAGED_0012,0,9.88,0,0.0,4.4,0,resolved_within_7d,resolved_standard
TKT000000013,CUST0093940,ORD00001013,2025-10-10T09:19,web_chat,South West,25-34,English,22,sports,82.67,0,2,Product is broken,"Hi, the box was crushed and the item is broken. The order value is about GBP 82.67. Thanks. ASAP",damaged_item,medium,negative,1,IMG_DAMAGED_0013,0,21.97,0,0.0,3.0,0,resolved_within_7d,resolved_standard
TKT000000014,CUST0019471,ORD00001014,2025-04-08T09:48,web_chat,Northern Ireland,45-54,English,16,appliances,364.87,2,2,Item arrived damaged,"Hi, there is visible damage. The order value is about GBP 364.87. Thank you. sent from mobile",damaged_item,high,neutral,1,IMG_DAMAGED_0014,0,26.94,0,0.0,3.1,0,resolved_within_7d,resolved_standard
TKT000000015,CUST0049609,ORD00001015,2025-12-04T19:51,web_chat,Wales,65+,English,47,home,84.64,6,3,Product is broken,I need assistance because there is visible damage. The order value is about GBP 84.64. Thanks. !!!,damaged_item,low,negative,1,IMG_DAMAGED_0015,1,29.14,0,0.0,2.2,0,resolved_within_7d,specialist_escalation
TKT000000016,CUST0059346,ORD00001016,2025-01-11T18:54,email,Scotland,35-44,English,25,appliances,97.77,1,1,Product is broken,Can someone check this? the item arrived cracked. The order value is about GBP 97.77. Can you confirm the next step? #help,damaged_item,medium,negative,1,IMG_DAMAGED_0016,0,22.18,0,0.0,,0,resolved_within_7d,resolved_standard
TKT000000017,CUST0177157,ORD00001017,2025-07-27T20:09,mobile_app,Yorkshire,45-54,English,21,home,19.63,5,2,Damage on arrival,"Hello, there is visible damage. The order value is about GBP 19.63. I need this resolved soon. #help",damaged_item,low,negative,1,IMG_DAMAGED_0017,0,26.62,1,12.4,2.8,0,resolved_within_7d,refund_or_return_completed
TKT000000018,CUST0194902,ORD00001018,2025-12-04T00:37,web_chat,North West,35-44,English,20,home,142.99,1,3,Damage on arrival,Please help - the box was crushed and the item is broken. The order value is about GBP 142.99. Please get back to me. sent from mobile,damaged_item,low,neutral,1,IMG_DAMAGED_0018,0,14.37,0,0.0,4.2,0,resolved_within_7d,resolved_standard
TKT000000019,CUST0115391,ORD00001019,2025-05-29T09:29,email,Wales,18-24,English,6,fashion,81.81,4,0,Damage on arrival,"Support team, the item arrived cracked. The order value is about GBP 81.81. I need this resolved soon. thx",damaged_item,medium,neutral,1,IMG_DAMAGED_0019,0,32.27,0,0.0,3.8,1,resolved_within_7d,resolved_standard
TKT000000020,CUST0174405,ORD00001020,2025-02-20T10:44,web_chat,London,35-44,English,23,beauty,51.71,3,2,Item arrived damaged,I need assistance because the box was crushed and the item is broken. The order value is about GBP 51.71. Can you confirm the next step? !!!,damaged_item,medium,negative,1,IMG_DAMAGED_0020,0,12.39,0,0.0,4.0,0,resolved_within_7d,resolved_standard
TKT000000021,CUST0048200,ORD00001021,2025-07-25T18:12,web_chat,North West,45-54,English,78,appliances,266.54,0,0,Damage on arrival,"Support team, there is visible damage. The order value is about GBP 266.54. Thanks. ASAP",damaged_item,low,positive,1,IMG_DAMAGED_0021,0,14.86,1,182.08,4.5,0,resolved_within_7d,refund_or_return_completed
TKT000000022,CUST0026049,ORD00001022,2025-09-15T23:50,web_chat,Yorkshire,55-64,English,58,toys,64.61,7,1,Product is broken,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 64.61. I need this resolved soon. ...,damaged_item,medium,negative,1,IMG_DAMAGED_0022,0,26.3,0,0.0,2.5,0,resolved_within_7d,resolved_standard
TKT000000023,CUST0176043,ORD00001023,2025-02-07T09:31,email,Yorkshire,25-34,English,78,fashion,72.22,9,3,Product is broken,"Support team, the box was crushed and the item is broken. The order value is about GBP 72.22. Thank you. ...",damaged_item,medium,negative,1,IMG_DAMAGED_0023,1,40.8,1,44.21,2.2,0,resolved_within_7d,specialist_escalation
TKT000000024,CUST0094907,ORD00001024,2025-01-23T04:19,phone,South East,18-24,Polish,9,fashion,527.91,2,4,Item arrived damaged,"Hello, the product is damaged. The order value is about GBP 527.91. I need this resolved soon. pls",damaged_item,high,negative,1,IMG_DAMAGED_0024,1,20.4,0,0.0,3.1,0,resolved_within_7d,specialist_escalation
TKT000000025,CUST0065992,ORD00001025,2025-03-22T09:05,email,Scotland,25-34,English,23,home,454.2,11,1,Damage on arrival,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 454.20. Thanks. !!!,damaged_item,low,neutral,1,IMG_DAMAGED_0025,0,26.46,0,0.0,3.9,1,resolved_within_7d,resolved_standard
TKT000000026,CUST0196751,ORD00001026,2025-05-16T01:00,email,London,25-34,English,25,beauty,56.46,7,1,Item arrived damaged,"Hello, the box was crushed and the item is broken. The order value is about GBP 56.46. Thank you. !!!",damaged_item,medium,negative,1,IMG_DAMAGED_0026,0,33.29,0,0.0,3.1,0,resolved_within_7d,resolved_standard
TKT000000027,CUST0192712,ORD00001027,2025-11-22T02:28,web_chat,South East,25-34,English,20,electronics,537.68,9,2,Product is broken,Please help - there is visible damage. The order value is about GBP 537.68. Please get back to me.,damaged_item,high,negative,1,IMG_DAMAGED_0027,1,27.41,0,0.0,2.9,0,resolved_within_7d,specialist_escalation
TKT000000028,CUST0080379,ORD00001028,2025-12-06T03:09,email,Wales,45-54,English,12,home,110.88,1,1,Product is broken,"Support team, the item arrived cracked. The order value is about GBP 110.88. Thanks. ...",damaged_item,medium,positive,1,IMG_DAMAGED_0028,0,16.67,1,94.74,3.7,0,resolved_within_7d,refund_or_return_completed
TKT000000029,CUST0164459,ORD00001029,2025-10-14T08:08,web_chat,Scotland,55-64,Romanian,23,sports,121.67,1,4,Damage on arrival,"Hi, the item arrived cracked. The order value is about GBP 121.67. Can you confirm the next step? ASAP",damaged_item,medium,positive,1,IMG_DAMAGED_0029,1,26.4,0,0.0,2.5,0,resolved_within_7d,specialist_escalation
TKT000000030,CUST0109040,ORD00001030,2025-10-03T21:20,email,Wales,55-64,English,6,toys,83.42,7,1,Item arrived damaged,"Support team, the item arrived cracked. The order value is about GBP 83.42. Please get back to me. #help",damaged_item,medium,negative,1,IMG_DAMAGED_0030,0,21.04,0,0.0,3.4,0,resolved_within_7d,resolved_standard
