ticket_id,issue_description,issue_category
TKT000000001,Can someone check this? the product is damaged. The order value is about GBP 192.40. Can you confirm the next step? ASAP,damaged_item
TKT000000002,"Hi, the box was crushed and the item is broken. The order value is about GBP 128.41. Thank you. #help",damaged_item
TKT000000003,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 100.69. Thanks. thx,damaged_item
TKT000000004,"Hello, the box was crushed and the item is broken. The order value is about GBP 187.32. Please advise. pls",damaged_item
TKT000000005,I need assistance because there is visible damage. The order value is about GBP 126.81. Please advise. #help,damaged_item
TKT000000006,"Hello, the product is damaged. The order value is about GBP 95.75. I need this resolved soon.",damaged_item
TKT000000007,Please help - the box was crushed and the item is broken. The order value is about GBP 37.58. I need this resolved soon. pls,damaged_item
TKT000000008,Can someone check this? the item arrived cracked. The order value is about GBP 184.04. Please get back to me. ...,damaged_item
TKT000000009,"Support team, the box was crushed and the item is broken. The order value is about GBP 175.33. Thanks. pls",damaged_item
TKT000000010,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 66.59. Thanks. ASAP,damaged_item
TKT000000011,Please help - the product is damaged. The order value is about GBP 25.04. I need this resolved soon. #help,damaged_item
TKT000000012,Can someone check this? the product is damaged. The order value is about GBP 99.17. Please advise. thx,damaged_item
TKT000000013,"Hi, the box was crushed and the item is broken. The order value is about GBP 82.67. Thanks. ASAP",damaged_item
TKT000000014,"Hi, there is visible damage. The order value is about GBP 364.87. Thank you. sent from mobile",damaged_item
TKT000000015,I need assistance because there is visible damage. The order value is about GBP 84.64. Thanks. !!!,damaged_item
TKT000000016,Can someone check this? the item arrived cracked. The order value is about GBP 97.77. Can you confirm the next step? #help,damaged_item
TKT000000017,"Hello, there is visible damage. The order value is about GBP 19.63. I need this resolved soon. #help",damaged_item
TKT000000018,Please help - the box was crushed and the item is broken. The order value is about GBP 142.99. Please get back to me. sent from mobile,damaged_item
TKT000000019,"Support team, the item arrived cracked. The order value is about GBP 81.81. I need this resolved soon. thx",damaged_item
TKT000000020,I need assistance because the box was crushed and the item is broken. The order value is about GBP 51.71. Can you confirm the next step? !!!,damaged_item
TKT000000021,"Support team, there is visible damage. The order value is about GBP 266.54. Thanks. ASAP",damaged_item
TKT000000022,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 64.61. I need this resolved soon. ...,damaged_item
TKT000000023,"Support team, the box was crushed and the item is broken. The order value is about GBP 72.22. Thank you. ...",damaged_item
TKT000000024,"Hello, the product is damaged. The order value is about GBP 527.91. I need this resolved soon. pls",damaged_item
TKT000000025,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 454.20. Thanks. !!!,damaged_item
